"Name","State","Notes","User","Tags","Created","Runtime","Sweep","encoder_name","flatten_temporal_dimension","loss_function","n_channels","pos_class_weight","use_doy","epoch","test_AP","test_f1","test_iou","test_loss","test_precision","test_recall","train_f1_epoch.max","train_f1_step","train_loss_epoch.min","train_loss_step","trainer/global_step","val_f1.max","val_loss.min"
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","679","","resnet18","true","Dice","120","531.2439758082392","false","0","0.1556936353445053","0.2962718605995178","0.1738962084054947","0.4869838356971741","0.4030520617961883","0.2342201322317123","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","1386","","resnet18","true","Dice","120","525.9315360501568","false","0","0.1881677359342575","0.28843697905540466","0.16852255165576935","0.4654146432876587","0.20797528326511383","0.47044211626052856","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","1236","","resnet18","true","Dice","120","456.27457166168074","false","0","0.2828320860862732","0.3829740285873413","0.23683850467205048","0.4601160585880279","0.3358394503593445","0.4454991817474365","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","1278","","resnet18","true","Dice","120","608.4653828020165","false","0","0.4669187664985657","0.5947558879852295","0.4232402443885803","0.42255374789237976","0.5601505637168884","0.6339184045791626","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","1937","","resnet18","true","Dice","120","964.2632335191678","false","0","0.4337645769119262","0.5094812512397766","0.3418147563934326","0.45616957545280457","0.44274085760116577","0.5999146699905396","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:52.000Z","1966","","resnet18","true","Dice","120","531.2439758082392","false","0","0.29669198393821716","0.46134987473487854","0.29984065890312195","0.4739100039005279","0.6039698123931885","0.3732188940048218","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","1962","","resnet18","true","Dice","120","525.9315360501568","false","0","0.2794821858406067","0.4593663215637207","0.2981671392917633","0.46872907876968384","0.559995174407959","0.3893938660621643","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","1292","","resnet18","true","Dice","120","638.7427092058174","false","0","0.45847445726394653","0.5745633840560913","0.4030788540840149","0.42808300256729126","0.5211222171783447","0.6402177810668945","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","540","","resnet18","true","Dice","120","456.27457166168074","false","0","0.16939367353916168","0.33188968896865845","0.19896148145198825","0.4809346497058869","0.48382994532585144","0.2525726854801178","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","1228","","resnet18","true","Dice","120","638.7427092058174","false","0","0.32937929034233093","0.44673487544059753","0.2876102030277252","0.4475192129611969","0.4110979735851288","0.4891367256641388","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","544","","resnet18","true","Dice","120","608.4653828020165","false","0","0.21082250773906708","0.3801470100879669","0.2346799373626709","0.46705812215805054","0.448459267616272","0.3298951983451843","","","","","0","",""
"models.SMPModel","finished","-","","","2024-08-02T18:33:51.000Z","1456","","resnet18","true","Dice","120","964.2632335191678","false","0","0.3267144560813904","0.4512311518192291","0.29134827852249146","0.4662509858608246","0.4316312074661255","0.4726957678794861","","","","","0","",""
