"Name","State","Notes","User","Tags","Created","Runtime","Sweep","encoder_name","flatten_temporal_dimension","loss_function","n_channels","pos_class_weight","use_doy","epoch","test_AP","test_f1","test_iou","test_loss","test_precision","test_recall","train_f1_epoch.max","train_f1_step","train_loss_epoch.min","train_loss_step","trainer/global_step","val_f1.max","val_loss.min"
"models.SMPModel","finished","-","","","2024-07-29T18:18:06.000Z","1515","","resnet18","true","Dice","85","531.2439758082392","false","0","0.23077309131622312","0.4048020839691162","0.2537629306316376","0.4458409249782562","0.41166952252388","0.39816001057624817","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:05.000Z","3321","","resnet18","true","Dice","85","608.4653828020165","false","0","0.4725610017776489","0.5899277329444885","0.4183670282363891","0.42341750860214233","0.5464163422584534","0.6409683227539062","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:05.000Z","4235","","resnet18","true","Dice","85","964.2632335191678","false","0","0.38415008783340454","0.48151272535324097","0.31710028648376465","0.4765793979167938","0.5260688066482544","0.4439148008823395","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:05.000Z","3150","","resnet18","true","Dice","85","638.7427092058174","false","0","0.3646749258041382","0.5177936553955078","0.3493398129940033","0.4328799247741699","0.5050995349884033","0.5311423540115356","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:05.000Z","2983","","resnet18","true","Dice","85","525.9315360501568","false","0","0.35676178336143494","0.5188289880752563","0.3502829968929291","0.4419527649879456","0.5340172052383423","0.5044808387756348","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:05.000Z","4535","","resnet18","true","Dice","85","525.9315360501568","false","0","0.33151480555534363","0.4975367784500122","0.3311474025249481","0.44510674476623535","0.5281075239181519","0.4703116714954376","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","3146","","resnet18","true","Dice","85","964.2632335191678","false","0","0.31869110465049744","0.4485189616680145","0.2890908420085907","0.4711116850376129","0.4766196012496948","0.4235473871231079","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","1496","","resnet18","true","Dice","85","456.27457166168074","false","0","0.2365475594997406","0.3866433799266815","0.23965151607990265","0.4492540955543518","0.4148866832256317","0.3620002865791321","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","3139","","resnet18","true","Dice","85","456.27457166168074","false","0","0.34197860956192017","0.5057456493377686","0.33846020698547363","0.44564688205718994","0.503216028213501","0.50830078125","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","4298","","resnet18","true","Dice","85","531.2439758082392","false","0","0.34776991605758667","0.4969105124473572","0.3305927515029907","0.4485771954059601","0.5457360148429871","0.4561040997505188","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","3426","","resnet18","true","Dice","85","638.7427092058174","false","0","0.4881611466407776","0.5932849645614624","0.42175209522247314","0.423880010843277","0.558761477470398","0.6323555707931519","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:18:04.000Z","1377","","resnet18","true","Dice","85","608.4653828020165","false","0","0.2155938744544983","0.3974445164203644","0.24800671637058255","0.4539059102535248","0.4591931998729706","0.3503343164920807","","","","","0","",""
