"Name","State","Notes","User","Tags","Created","Runtime","Sweep","encoder_name","flatten_temporal_dimension","loss_function","n_channels","pos_class_weight","use_doy","epoch","test_AP","test_f1","test_iou","test_loss","test_precision","test_recall","train_f1_epoch.max","train_f1_step","train_loss_epoch.min","train_loss_step","trainer/global_step","val_f1.max","val_loss.min"
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","946","","resnet18","true","Dice","35","456.27457166168074","false","0","0.2117464691400528","0.3902040719985962","0.24239350855350497","0.45303434133529663","0.4148086905479431","0.3683549165725708","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","4022","","resnet18","true","Dice","35","531.2439758082392","false","0","0.3320602774620056","0.510677695274353","0.3428926467895508","0.44072386622428894","0.5071765780448914","0.5142274498939514","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","3191","","resnet18","true","Dice","35","638.7427092058174","false","0","0.46344611048698425","0.5914949774742126","0.4199452102184296","0.423964649438858","0.5510057210922241","0.6384065747261047","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","3930","","resnet18","true","Dice","35","964.2632335191678","false","0","0.3835691511631012","0.4478742480278015","0.288555383682251","0.4514932334423065","0.384813129901886","0.5356544256210327","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","3177","","resnet18","true","Dice","35","964.2632335191678","false","0","0.3324679434299469","0.46832820773124695","0.30576276779174805","0.4547556340694427","0.5311475396156311","0.41879668831825256","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","3199","","resnet18","true","Dice","35","608.4653828020165","false","0","0.44014641642570496","0.5883151292800903","0.4167467951774597","0.42865902185440063","0.571580708026886","0.6060589551925659","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","4439","","resnet18","true","Dice","35","525.9315360501568","false","0","0.3667483627796173","0.5087447166442871","0.34115201234817505","0.4438211917877197","0.4824264347553253","0.5381002426147461","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","1176","","resnet18","true","Dice","35","531.2439758082392","false","0","0.2012179046869278","0.3766480684280395","0.23201873898506165","0.4520595669746399","0.40470221638679504","0.3522312343120575","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","2815","","resnet18","true","Dice","35","638.7427092058174","false","0","0.34394365549087524","0.5103703737258911","0.34261563420295715","0.43286460638046265","0.48937156796455383","0.5332521200180054","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","2819","","resnet18","true","Dice","35","456.27457166168074","false","0","0.3625347316265106","0.5135404467582703","0.34547895193099976","0.43908125162124634","0.4758587181568146","0.5577031970024109","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","946","","resnet18","true","Dice","35","608.4653828020165","false","0","0.21583084762096405","0.381568044424057","0.2357640415430069","0.4340722858905792","0.36570361256599426","0.3988713324069977","","","","","0","",""
"models.SMPModel","finished","-","","","2024-07-29T18:14:52.000Z","2846","","resnet18","true","Dice","35","525.9315360501568","false","0","0.3485516607761383","0.49652454257011414","0.33025118708610535","0.433059424161911","0.4552412033081054","0.5460421442985535","","","","","0","",""
